OID_,ORIG_FID,dist_m,C_2009,C_2019,C_2021,POINT_X,POINT_Y
1,1,150,17.2000008,17.8978806,19.0876141,557324.731900000013411,4889648.983999999240041
2,1,152,17.2999992,17.9071026,19.1152821,557322.789099999703467,4889648.514399999752641
3,1,154,17.2000008,18.1837845,19.0046101,557320.968399999663234,4889647.686799999326468
4,1,156,17.2000008,17.9163265,19.0783920,557319.147699999623001,4889646.859200000762939
5,1,158,17.2000008,17.8609886,19.2259560,557317.326899999752641,4889646.031600000336766
6,1,160,17.2000008,17.8978806,19.2905159,557315.406700000166893,4889645.614700000733137
7,1,162,17.2000008,18.0269985,19.4011879,557313.409099999815226,4889645.517200000584126
8,1,164,17.1000004,17.8609886,19.3827438,557311.411399999633431,4889645.419800000265241
9,1,166,17.2000008,18.0177746,19.4196339,557309.414900000207126,4889645.375299999490380
10,1,168,17.2000008,17.8333206,19.4473019,557307.422799999825656,4889645.553200000897050
11,1,170,17.1000004,17.8056526,19.4288559,557305.430700000375509,4889645.731100000441074
12,1,172,17.1000004,17.9993305,19.3274059,557303.435700000263751,4889645.871300000697374
13,1,174,17.2000008,18.0546665,19.4380798,557301.440299999900162,4889646.006500000134110
14,1,176,17.2000008,18.1837845,19.6870937,557299.457299999892712,4889646.242499999701977
15,1,178,17.2000008,18.8570461,20.0744495,557297.489199999719858,4889646.598099999129772
16,1,220,17.2000008,19.1521740,20.0928936,557257.726700000464916,4889658.835899999365211
17,1,222,17.2000008,18.3682404,19.4011879,557255.931599999777973,4889659.717599999159575
18,1,224,17.2000008,18.4143543,19.2444000,557254.227900000289083,4889660.759299999102950
19,1,226,17.1000004,18.3129044,19.5948658,557252.558000000193715,4889661.859899999573827
20,1,228,17.2000008,18.4420223,20.1113396,557250.982800000347197,4889663.084699999541044
21,1,274,17.2000008,18.7371502,19.5856438,557228.978900000452995,4889699.775299999862909
22,1,288,17.2000008,18.9953880,19.6686478,557222.886300000362098,4889712.366499999538064
23,1,310,17.1000004,19.8899937,20.2035675,557217.459499999880791,4889733.677799999713898
24,1,320,17.2999992,19.1982880,19.8346577,557216.347000000067055,4889743.613600000739098
25,1,322,17.2000008,19.2720699,19.9084396,557216.902300000190735,4889745.491200000047684
26,1,334,17.2999992,18.7463741,19.6502018,557221.542500000447035,4889756.553799999877810
27,1,344,17.7000008,19.5303078,20.5079174,557226.793499999679625,4889765.064200000837445
28,1,346,17.8999996,18.4328003,19.1337280,557227.843700000084937,4889766.766300000250340
29,1,348,17.8999996,18.3682404,19.5948658,557228.902800000272691,4889768.462300000712276
30,1,350,18.1000004,18.2667904,19.9361057,557230.094499999657273,4889770.068600000813603
31,1,2,17.2000008,19.4749699,21.0981731,557435.950400000438094,4889730.821299999952316
32,1,4,17.1000004,18.9584961,21.5869789,557434.874499999918044,4889729.135299999266863
33,1,6,17.2000008,18.5250282,21.5869789,557433.798700000159442,4889727.449300000444055
34,1,8,17.2000008,18.6357002,21.0981731,557432.722900000400841,4889725.763299999758601
35,1,10,17.1000004,18.8847141,20.5540314,557431.647099999710917,4889724.077299999073148
36,1,12,17.2000008,19.1982880,20.2496796,557430.571200000122190,4889722.391300000250340
37,1,14,17.2000008,19.1798420,19.9637756,557429.495400000363588,4889720.705299999564886
38,1,20,17.2000008,19.2628460,19.1613979,557426.267900000326335,4889715.647299999371171
39,1,22,17.2000008,19.1706181,18.8201561,557425.192099999636412,4889713.961300000548363
40,1,24,17.1000004,18.7832642,19.0876141,557424.116299999877810,4889712.275299999862909
41,1,26,17.1000004,18.7648201,19.1337280,557423.049599999561906,4889710.583499999716878
42,1,28,17.1000004,18.7648201,19.3827438,557421.991600000299513,4889708.886299999430776
43,1,30,17.1000004,18.4512463,19.1245060,557420.933600000105798,4889707.188999999314547
44,1,32,17.0000000,18.2944584,19.1245060,557419.875599999912083,4889705.491800000891089
45,1,34,17.1000004,18.2022305,19.1152821,557418.817599999718368,4889703.794600000604987
46,1,36,17.2000008,18.1284485,19.1060600,557417.759600000455976,4889702.097300000488758
47,1,38,17.0000000,18.0731125,19.1429520,557416.701500000432134,4889700.400100000202656
48,1,40,17.2000008,18.1007805,19.1706181,557415.643500000238419,4889698.702899999916553
49,1,42,17.1000004,18.1468945,19.3181820,557414.585500000044703,4889697.005599999800324
50,1,44,17.0000000,18.2483444,19.4011879,557413.353099999949336,4889695.452800000086427
51,1,46,17.1000004,18.4420223,19.0599461,557411.883500000461936,4889694.096200000494719
52,1,58,17.1000004,18.2114544,19.2167339,557403.290199999697506,4889685.797800000756979
53,1,60,17.1000004,18.0638905,19.0691700,557402.497000000439584,4889683.961799999698997
54,1,70,17.0000000,18.4051304,19.1060600,557398.264200000092387,4889674.992300000041723
55,1,76,17.0000000,17.9716625,19.2167339,557393.464200000278652,4889671.392300000414252
56,1,78,17.0000000,17.8978806,18.8109322,557391.864199999719858,4889670.192299999296665
57,1,80,17.1000004,18.0915565,18.9492741,557390.264200000092387,4889668.992300000041723
58,1,82,17.1000004,18.1468945,18.9308281,557388.664200000464916,4889667.792300000786781
59,1,84,17.1000004,18.0823364,19.0507240,557386.761099999770522,4889667.189500000327826
60,1,88,17.2000008,18.0638905,18.8939381,557382.934999999590218,4889666.022900000214577
61,1,90,17.2000008,17.6304207,19.0691700,557380.991899999789894,4889665.574599999934435
62,1,92,17.1000004,17.8056526,18.9123840,557379.012000000104308,4889665.291799999773502
63,1,94,17.2000008,17.7503166,18.8570461,557377.032100000418723,4889665.008899999782443
64,1,96,17.1000004,17.8333206,18.9216061,557375.052199999801815,4889664.726099999621511
65,1,98,17.2000008,17.6765347,18.9400501,557373.113499999977648,4889664.253599999472499
66,1,106,17.1000004,17.6857567,18.7187042,557365.437599999830127,4889661.999500000849366
67,1,108,17.1000004,17.6119747,18.7371502,557363.570600000210106,4889661.313799999654293
68,1,110,17.2000008,17.8333206,18.6633682,557361.834099999628961,4889660.321499999612570
69,1,112,17.2000008,17.8148746,18.6633682,557359.956000000238419,4889659.707499999552965
70,1,114,17.2999992,17.7410927,18.7002602,557357.994800000451505,4889659.315300000831485
71,1,116,17.2000008,17.9901085,18.4604683,557356.095499999821186,4889658.720499999821186
72,1,118,17.3999996,17.8794346,18.6264763,557354.249300000257790,4889657.951300000771880
73,1,120,17.3999996,18.1007805,18.6910381,557352.403199999593198,4889657.182000000029802
74,1,122,17.2999992,18.2206764,18.6725922,557350.427000000141561,4889656.967700000852346
75,1,126,17.2000008,19.0507240,18.7002602,557346.435600000433624,4889656.706100000068545
76,1,128,17.3999996,18.2022305,18.5803642,557344.439899999648333,4889656.575300000607967
77,1,130,17.2999992,18.1468945,18.6541462,557342.721199999563396,4889655.701400000602007
78,1,134,17.2000008,18.3129044,18.9308281,557339.532800000160933,4889653.286000000312924
79,1,136,17.2000008,18.1468945,19.1890640,557337.938599999994040,4889652.078299999237061
80,1,138,17.2000008,18.0177746,19.4011879,557336.344499999657273,4889650.870600000023842
81,1,140,17.2000008,17.8333206,19.3919659,557334.602400000207126,4889650.102900000289083
82,1,142,17.1000004,17.8794346,19.2997379,557332.602400000207126,4889650.102900000289083
83,1,144,17.2000008,17.8333206,19.2444000,557330.602400000207126,4889650.102900000289083
84,1,146,17.1000004,17.9439926,19.2075100,557328.626199999824166,4889649.897500000894070
85,1,148,17.2000008,17.9716625,19.2812920,557326.678999999538064,4889649.440700000151992
86,1,1018,17.5000000,18.1561184,20.5355873,556647.114599999971688,4889887.820399999618530
87,1,1028,17.6000004,17.7410927,20.2404575,556637.953800000250340,4889883.810399999842048
88,1,1074,17.7000008,18.1100025,19.4011879,556595.814199999906123,4889865.364399999380112
89,1,1076,17.6000004,18.1284485,19.3089619,556593.982099999673665,4889864.562400000169873
90,1,1078,17.6000004,18.1561184,19.1060600,556592.149899999611080,4889863.760399999096990
91,1,1080,17.6000004,18.1561184,19.1613979,556590.247000000439584,4889863.152499999850988
92,1,1082,17.5000000,17.9808846,19.0507240,556588.328700000420213,4889862.586500000208616
93,1,1084,17.5000000,18.1007805,19.0507240,556586.410400000400841,4889862.020600000396371
94,1,1086,17.6000004,18.0823364,18.9031601,556584.492200000211596,4889861.454700000584126
95,1,1088,17.5000000,17.8978806,18.8201561,556582.573900000192225,4889860.888800000771880
96,1,1090,17.5000000,17.9901085,18.8847141,556580.655700000002980,4889860.322799999266863
97,1,1092,17.3999996,18.1007805,19.0046101,556578.737399999983609,4889859.756899999454618
98,1,1094,17.5000000,18.1745625,18.9123840,556576.819099999964237,4889859.190999999642372
99,1,1096,17.5000000,18.3129044,18.9677200,556574.900899999774992,4889858.625099999830127
100,1,428,17.0000000,18.1745625,19.2167339,557201.134300000034273,4889839.630400000140071
101,1,438,17.3999996,17.7410927,19.1060600,557192.223899999633431,4889844.031899999827147
102,1,440,17.5000000,17.8240986,19.4196339,557190.528099999763072,4889845.052400000393391
103,1,442,17.3999996,18.6541462,21.1073952,557189.035400000400841,4889846.383500000461936
104,1,352,18.7000008,18.2483444,19.6225338,557231.286199999973178,4889771.674799999222159
105,1,354,18.2000008,17.8333206,19.3642979,557231.472099999897182,4889773.471400000154972
106,1,356,17.6000004,18.1930084,19.1706181,557230.950299999676645,4889775.402200000360608
107,1,358,17.5000000,18.2022305,19.0599461,557230.422600000165403,4889777.331199999898672
108,1,360,17.6000004,18.3036823,19.3642979,557229.855000000447035,4889779.248999999836087
109,1,844,17.6000004,18.6080322,20.2404575,556810.110399999655783,4889935.502000000327826
110,1,846,17.3999996,18.6172562,20.0560036,556808.116999999620020,4889935.340299999341369
111,1,848,17.5000000,18.3590183,19.9545517,556806.123499999754131,4889935.178700000047684
112,1,850,17.3999996,18.4051304,20.0283337,556804.128600000403821,4889935.083300000056624
113,1,852,17.5000000,18.3866863,19.9822216,556802.129999999888241,4889935.157299999147654
114,1,854,17.6000004,18.3959084,19.8531036,556800.131299999542534,4889935.231399999931455
115,1,856,17.5000000,18.3129044,19.8346577,556798.132699999958277,4889935.305400000885129
116,1,858,17.6000004,18.2299004,19.7977657,556796.134100000374019,4889935.379399999976158
117,1,860,17.6000004,18.0915565,19.9084396,556794.135499999858439,4889935.453500000759959
118,1,862,17.3999996,18.2667904,19.9453297,556792.136800000444055,4889935.527499999850988
119,1,864,17.5000000,18.2852364,19.9361057,556790.143899999558926,4889935.418500000610948
120,1,866,17.6000004,18.3405724,19.9361057,556788.153900000266731,4889935.219499999657273
121,1,868,17.5000000,18.3590183,20.0283337,556786.163800000213087,4889935.020500000566244
122,1,870,17.3999996,18.2483444,19.9545517,556784.173700000159442,4889934.821499999612570
123,1,872,17.5000000,18.3497944,20.0560036,556782.183600000105798,4889934.622400000691414
124,1,874,17.6000004,18.3497944,20.0744495,556780.193599999882281,4889934.423399999737740
125,1,876,17.7000008,18.2575665,20.0191116,556778.203499999828637,4889934.224400000646710
126,1,878,17.6000004,18.3036823,20.0652256,556776.236499999649823,4889934.256400000303984
127,1,880,17.7000008,18.4328003,20.0283337,556774.324900000356138,4889934.844599999487400
128,1,886,17.6000004,18.4881363,21.9743347,556768.590200000442564,4889936.609099999070168
129,1,888,17.5000000,18.4696922,20.0928936,556766.678700000047684,4889937.197300000116229
130,1,890,17.6000004,18.4328003,19.9637756,556764.767099999822676,4889937.785499999299645
131,1,892,17.6000004,18.5342503,20.0006676,556762.896099999547005,4889937.510999999940395
132,1,894,17.5000000,18.3497944,19.8807697,556761.048000000417233,4889936.746300000697374
133,1,896,17.7000008,18.2852364,19.7055378,556759.200000000186265,4889935.981599999591708
134,1,898,17.6000004,18.3866863,19.8992157,556757.351999999955297,4889935.216900000348687
135,1,908,17.6000004,18.9308281,20.4156895,556748.111800000071526,4889931.393400000408292
136,1,910,17.7000008,19.7147598,20.7845993,556746.263799999840558,4889930.628699999302626
137,1,918,17.7999992,19.3827438,20.6739273,556738.871600000187755,4889927.569900000467896
138,1,930,17.7000008,18.7279282,19.8623238,556727.783400000073016,4889922.981599999591708
139,1,932,17.7000008,18.6449223,19.6502018,556725.935399999842048,4889922.216900000348687
140,1,934,17.6000004,18.7187042,19.6502018,556724.087399999611080,4889921.452199999243021
141,1,936,17.6000004,18.7187042,19.7239838,556722.239299999549985,4889920.687500000000000
142,1,938,17.7000008,18.6725922,19.7608757,556720.400799999944866,4889919.900399999693036
143,1,940,17.7000008,18.8478241,19.5948658,556718.568699999712408,4889919.098400000482798
144,1,942,17.6000004,18.8201561,19.8346577,556716.736499999649823,4889918.296399999409914
145,1,944,17.7000008,18.9308281,20.0375576,556714.904400000348687,4889917.494400000199676
146,1,776,17.3999996,19.2167339,20.2035675,556876.806300000287592,4889928.987299999222159
147,1,778,17.3999996,19.0230541,20.2681255,556874.821700000204146,4889929.234300000593066
148,1,780,17.5000000,19.0783920,20.2127895,556872.837000000290573,4889929.481200000271201
149,1,782,17.3999996,18.8201561,20.0283337,556870.868300000205636,4889929.800499999895692
150,1,784,17.3999996,18.9123840,20.0744495,556868.965400000102818,4889930.416200000792742
151,1,786,17.2999992,18.8017101,20.0467796,556867.062500000000000,4889931.031799999997020
152,1,798,17.3999996,18.3682404,19.9361057,556855.645200000144541,4889934.725600000470877
153,1,800,17.2999992,18.5526943,20.0652256,556853.718399999663234,4889935.252199999988079
154,1,802,17.5000000,18.4051304,20.1666756,556851.762799999676645,4889935.671299999579787
155,1,804,17.3999996,18.4051304,20.1205616,556849.807199999690056,4889936.090399999171495
156,1,806,17.3999996,18.4235764,20.1021156,556847.851599999703467,4889936.509400000795722
157,1,808,17.2999992,18.2022305,19.9637756,556845.895999999716878,4889936.928500000387430
158,1,810,17.3999996,18.5065823,19.8899937,556843.940399999730289,4889937.347599999979138
159,1,812,17.3999996,18.4973583,19.8069878,556841.984799999743700,4889937.766599999740720
160,1,814,17.5000000,18.3959084,19.8899937,556840.012299999594688,4889937.926400000229478
161,1,816,17.3999996,18.4328003,19.9176617,556838.018799999728799,4889937.764799999073148
162,1,818,17.3999996,18.4881363,19.7147598,556836.025399999693036,4889937.603199999779463
163,1,638,17.3999996,18.7555962,19.3919659,557013.585500000044703,4889914.788000000640750
164,1,640,17.2999992,18.6818142,19.3274059,557011.602300000376999,4889915.046399999409914
165,1,642,17.5000000,18.7187042,19.2167339,557009.631699999794364,4889915.385500000789762
166,1,644,17.5000000,18.6633682,19.1521740,557007.664599999785423,4889915.746799999848008
167,1,646,17.5000000,18.7002602,19.3458519,557005.697599999606609,4889916.108200000599027
168,1,650,17.3999996,18.6541462,19.2167339,557001.763399999588728,4889916.831000000238419
169,1,654,17.3999996,18.6725922,19.0599461,556997.829199999570847,4889917.553799999877810
170,1,656,17.3999996,18.7463741,19.1521740,556995.862200000323355,4889917.915200000628829
171,1,658,17.3999996,18.7463741,19.1613979,556993.895100000314415,4889918.276599999517202
172,1,660,17.3999996,18.7463741,19.1890640,556991.917700000107288,4889918.278100000694394
173,1,662,17.3999996,18.7740421,19.2444000,556989.933100000023842,4889918.029999999329448
174,1,664,17.5000000,18.7555962,19.1798420,556987.948599999770522,4889917.781999999657273
175,1,672,17.2999992,18.6910381,19.0968361,556980.010400000028312,4889916.789699999615550
176,1,674,17.3999996,18.8109322,19.1060600,556978.025799999944866,4889916.541600000113249
177,1,676,17.5000000,19.0322781,19.2259560,556976.041100000031292,4889916.640100000426173
178,1,678,17.3999996,19.0230541,19.3827438,556974.056400000117719,4889916.887000000104308
179,1,680,17.3999996,19.8438797,,556972.071800000034273,4889917.133999999612570
