OID_,CID,TIR2019,TIR2021,TIR2009
1,1,17.2399998,18.0799999,17.3999996
2,1,18.0300007,18.1700001,17.3999996
3,1,17.6900005,18.1599998,17.2999992
4,1,16.3899994,17.6100006,17.2000008
5,1,15.9799995,17.9500008,17.2000008
6,1,16.2500000,17.6499996,17.2000008
7,1,16.2700005,17.5699997,17.2000008
8,1,16.5900002,18.6599998,17.2000008
9,1,16.1800003,17.2900009,17.3999996
10,1,17.2199993,19.0599995,17.5000000
11,1,18.4599991,18.7199993,17.2000008
12,1,16.6100006,17.7999992,17.2000008
13,1,16.1299992,17.8600006,17.2000008
14,1,16.7399998,17.7999992,17.2000008
15,1,16.3400002,17.6499996,17.2999992
16,1,16.3400002,17.6000004,17.2000008
17,1,18.4799995,18.7700005,17.2999992
18,1,16.0599995,17.8600006,17.1000004
19,1,16.1900005,17.6599998,17.2000008
20,1,15.9799995,20.7999992,17.0000000
21,1,17.3899994,17.8600006,17.2000008
22,1,17.6900005,18.7399998,17.2000008
23,1,17.2000008,18.5499992,17.2000008
24,1,16.6599998,17.9300003,17.2999992
25,1,16.0100002,18.6900005,17.1000004
26,1,16.2199993,17.3299999,17.3999996
27,1,16.0900002,17.3700008,17.2000008
28,1,17.5699997,18.2999992,17.2999992
29,1,18.3500004,18.3299999,17.1000004
30,1,17.3700008,17.6700001,17.2000008
31,1,16.1000004,19.5300007,17.5000000
32,1,17.3600006,17.8500004,17.5000000
33,1,16.0799999,17.5300007,17.1000004
34,1,17.2700005,18.1700001,17.2000008
35,1,16.2500000,17.3400002,17.2999992
36,1,18.8799992,18.6800003,17.1000004
37,1,18.2000008,18.5400009,17.0000000
38,1,17.5300007,17.6100006,17.3999996
39,1,16.8199997,17.8299999,17.3999996
40,1,18.1299992,18.4099998,16.8999996
41,1,17.1499996,18.0699997,17.2999992
42,1,16.1200008,17.2900009,17.6000004
43,1,16.2900009,18.5900002,17.1000004
44,1,16.1599998,17.6700001,17.2000008
45,1,16.4200001,17.4099998,17.1000004
46,1,16.4699993,19.7700005,17.2000008
47,1,16.1299992,17.3500004,17.3999996
48,1,16.1900005,17.8999996,17.1000004
49,1,18.6499996,18.5000000,17.1000004
50,1,16.1700001,17.4699993,17.2000008
51,1,16.7700005,18.4899998,17.0000000
52,1,16.5799999,17.9699993,17.2000008
53,1,17.4500008,18.6200008,17.2999992
54,1,16.0799999,18.3500004,17.1000004
55,1,16.0900002,18.3799992,17.2000008
56,1,16.3700008,17.7700005,17.2000008
57,1,16.6100006,18.5100002,17.1000004
58,1,16.2800007,17.5300007,17.1000004
59,1,17.3600006,17.9099998,17.1000004
60,1,16.1599998,17.7399998,17.1000004
61,1,16.2399998,17.8999996,17.1000004
62,1,16.1700001,19.1299992,17.6000004
63,1,16.6399994,18.0599995,17.2999992
64,1,17.1800003,19.8099995,17.2999992
65,1,16.2399998,18.2700005,17.0000000
66,1,16.2999992,17.2700005,17.2000008
67,1,16.5200005,17.6700001,17.1000004
68,1,16.0200005,18.3199997,17.1000004
69,1,16.7099991,18.0000000,17.2000008
70,1,16.2500000,17.6599998,17.5000000
71,1,16.7199993,18.0499992,17.2000008
72,1,16.9300003,17.7099991,17.7999992
73,1,16.8299999,18.0900002,17.1000004
74,1,16.6700001,17.8700008,17.1000004
75,1,16.0699997,17.7900009,17.0000000
76,1,16.3400002,17.4500008,17.2000008
77,1,16.3400002,17.4099998,17.2000008
78,1,15.8999996,17.8899994,17.2000008
79,1,16.1399994,17.4599991,17.2999992
80,1,16.2299995,17.5799999,17.1000004
81,1,16.0900002,17.2299995,17.2000008
82,1,17.3999996,18.4400005,17.2000008
83,1,16.7399998,17.7399998,17.2000008
84,1,16.0200005,17.6399994,17.1000004
85,1,16.0900002,18.2399998,17.2000008
86,1,16.2600002,17.3899994,17.3999996
87,1,18.2099991,18.4200001,17.2000008
88,1,16.8099995,21.5100002,17.1000004
89,1,16.0300007,17.5400009,17.1000004
90,1,16.6599998,18.1399994,17.1000004
91,1,16.2000008,17.8099995,17.2000008
92,1,16.9099998,17.4599991,17.2000008
93,1,17.2399998,17.7099991,17.5000000
94,1,15.9899998,17.9799995,17.1000004
95,1,18.1399994,18.8799992,17.3999996
96,1,16.8099995,17.6299992,17.0000000
97,1,16.5799999,18.0000000,17.1000004
98,1,16.5699997,18.3700008,17.1000004
99,1,16.0699997,18.2999992,17.2000008
100,1,16.1200008,17.5300007,17.5000000
101,1,18.9799995,19.0400009,17.1000004
102,1,16.1800003,17.7800007,17.1000004
103,1,16.3099995,17.8199997,17.1000004
104,1,16.4899998,17.5300007,17.2000008
105,1,17.7700005,17.8799992,17.1000004
106,1,17.1000004,18.0000000,17.1000004
107,1,16.2800007,18.0699997,17.1000004
108,1,16.2500000,17.7299995,17.2999992
109,1,16.1499996,17.5300007,17.1000004
110,1,17.0799999,18.6000004,17.2999992
111,1,16.2099991,17.7900009,17.1000004
112,1,17.5400009,17.8799992,17.2999992
113,1,17.0000000,20.0499992,17.2000008
114,1,17.1100006,17.5699997,17.2999992
115,1,16.4300003,16.9799995,17.2000008
116,1,17.0000000,18.9099998,17.1000004
117,1,16.1499996,17.1399994,17.1000004
118,1,17.2199993,17.4899998,17.1000004
119,1,16.1599998,17.1299992,17.2999992
120,1,16.5300007,17.3999996,17.1000004
121,1,16.1499996,17.0499992,17.2000008
122,1,16.1299992,16.8700008,18.0000000
123,1,15.9899998,17.0100002,17.2000008
124,1,16.1399994,17.0000000,17.2000008
125,1,16.8899994,17.4099998,17.1000004
126,1,16.1700001,17.2199993,17.1000004
127,1,15.9200001,16.8799992,17.3999996
128,1,16.1399994,17.3299999,17.1000004
129,1,16.0599995,16.8099995,17.5000000
130,1,16.3099995,17.3600006,17.1000004
131,1,16.3199997,17.5599995,17.1000004
132,1,16.0400009,17.2199993,17.2000008
133,1,16.8899994,18.2600002,17.2000008
134,1,18.2600002,19.4400005,17.2000008
135,1,17.0300007,17.5200005,17.1000004
136,1,16.4400005,17.5900002,17.1000004
137,1,17.6499996,17.6499996,17.2000008
138,1,15.9700003,17.0100002,17.2000008
139,1,16.3400002,17.0100002,18.5000000
140,1,16.3400002,17.5100002,17.1000004
141,1,16.5499992,17.6599998,17.1000004
142,1,15.9499998,17.2800007,17.2000008
143,1,15.9700003,16.9799995,17.2000008
144,1,15.9300003,17.0100002,17.1000004
145,1,16.3999996,17.4899998,17.2000008
146,1,16.4500008,17.6299992,17.1000004
147,1,16.3999996,17.2099991,17.2000008
148,1,16.3099995,17.5599995,17.2000008
149,1,16.3799992,17.5499992,17.1000004
150,1,16.4899998,19.7099991,17.1000004
151,1,16.0499992,16.9699993,17.2000008
152,1,16.0200005,17.0000000,17.2000008
153,1,16.4300003,17.5799999,17.2000008
154,1,16.3299999,17.7000008,17.1000004
155,1,16.5799999,16.7800007,17.2000008
156,1,18.5799999,18.8700008,17.2000008
157,1,16.3299999,17.1700001,17.2999992
158,1,16.3799992,17.1900005,17.1000004
159,1,17.5599995,18.0499992,17.1000004
160,1,16.1900005,16.8899994,17.6000004
161,1,16.2399998,17.4699993,17.1000004
162,1,17.5000000,19.2299995,17.2000008
163,1,17.2700005,17.3299999,17.0000000
164,1,16.3899994,17.7700005,17.1000004
165,1,16.4300003,17.7500000,17.2000008
166,1,16.5300007,17.3899994,17.0000000
167,1,16.6599998,19.8099995,17.1000004
168,1,16.4799995,16.9799995,17.2999992
169,1,16.0699997,17.4500008,17.2000008
170,1,16.3600006,17.7399998,17.2000008
171,1,17.8099995,17.0799999,17.2000008
172,1,16.1499996,17.9099998,17.2000008
173,1,16.5499992,17.3400002,17.1000004
174,1,16.5499992,17.6000004,17.1000004
175,1,17.7099991,17.6499996,17.1000004
176,1,16.5400009,17.7000008,17.1000004
177,1,16.5599995,17.8299999,17.1000004
178,1,16.8099995,20.0000000,17.2000008
179,1,17.7399998,19.0499992,17.1000004
180,1,16.6900005,18.8799992,17.2000008
181,1,17.5699997,17.5900002,17.2000008
182,1,16.4300003,16.9799995,17.2000008
183,1,16.7900009,17.8400002,17.0000000
184,1,16.2299995,17.1599998,17.2999992
185,1,17.0300007,17.3500004,17.0000000
186,1,16.8999996,18.4899998,17.1000004
187,1,17.4200001,17.6499996,17.1000004
188,1,16.6399994,17.1499996,17.3999996
189,1,16.3099995,17.1800003,17.6000004
190,1,16.0200005,18.0200005,17.6000004
191,1,16.1299992,18.1700001,17.6000004
192,1,16.2900009,17.2199993,17.5000000
193,1,16.5100002,17.8299999,17.7000008
194,1,17.0000000,18.0699997,17.7000008
195,1,16.2800007,17.0900002,17.5000000
196,1,16.5300007,17.2399998,17.5000000
197,1,16.2999992,17.1399994,17.6000004
198,1,16.0599995,18.5100002,17.7000008
199,1,16.2800007,17.0699997,17.7000008
200,1,16.7000008,17.2199993,17.5000000
201,1,16.8500004,17.3899994,17.5000000
202,1,16.3400002,17.1000004,17.5000000
203,1,17.2299995,17.6499996,17.6000004
204,1,16.2000008,19.2700005,17.7999992
205,1,15.9499998,18.0599995,17.7000008
206,1,16.2000008,17.0000000,17.6000004
207,1,16.3999996,18.9500008,17.6000004
208,1,16.5300007,17.6000004,17.7000008
209,1,16.8299999,17.1299992,17.5000000
210,1,16.0400009,17.9200001,17.7000008
211,1,15.8000002,18.2700005,17.7000008
212,1,16.4200001,17.3299999,17.5000000
213,1,16.8299999,17.3700008,17.5000000
214,1,16.2000008,18.0900002,17.2000008
215,1,16.3400002,18.0799999,17.5000000
216,1,16.1499996,17.4599991,17.3999996
217,1,17.5799999,18.2900009,17.3999996
218,1,16.9699993,17.6599998,17.2000008
219,1,16.4400005,17.7299995,19.3999996
220,1,16.6100006,18.4500008,18.3999996
221,1,16.5900002,17.3600006,17.8999996
222,1,16.7099991,17.1200008,17.5000000
223,1,16.5000000,17.5499992,17.6000004
224,1,17.2199993,18.5400009,17.2999992
225,1,16.6299992,18.3600006,18.1000004
226,1,16.2399998,17.8099995,18.3999996
227,1,16.9099998,17.6800003,17.7999992
228,1,16.6700001,17.8700008,17.2000008
229,1,16.5200005,17.4599991,17.2000008
230,1,16.5400009,17.9899998,18.3999996
231,1,16.8999996,17.8099995,17.6000004
232,1,16.7099991,16.8099995,17.5000000
233,1,16.3400002,17.9200001,20.1000004
234,1,16.5599995,17.5100002,18.3999996
235,1,16.4400005,18.3199997,18.7999992
236,1,16.6299992,17.4799995,17.3999996
237,1,16.6499996,17.5400009,17.5000000
238,1,16.7700005,17.1700001,17.3999996
239,1,16.7399998,17.8099995,17.6000004
240,1,16.2099991,17.3099995,18.0000000
241,1,15.8800001,17.3199997,17.7999992
242,1,16.2700005,17.7299995,17.8999996
243,1,16.0799999,17.7999992,17.7999992
244,1,20.0200005,19.5200005,18.0000000
245,1,17.6100006,18.9300003,18.0000000
246,1,15.8299999,17.6599998,17.7999992
247,1,15.9399996,17.3600006,17.8999996
248,1,17.6000004,19.4799995,17.7000008
249,1,17.7399998,18.8099995,17.5000000
250,1,16.7199993,18.3400002,17.6000004
251,1,16.7900009,18.5000000,17.7999992
252,1,16.7600002,18.1299992,17.6000004
253,1,17.2800007,19.1000004,17.7999992
254,1,16.6399994,18.4300003,17.3999996
255,1,16.9599991,19.3299999,17.7000008
256,1,17.0200005,18.7199993,17.7999992
257,1,16.6399994,18.4099998,17.5000000
258,1,16.7800007,18.2700005,17.7999992
259,1,16.9500008,18.2500000,17.6000004
260,1,16.9400005,19.2700005,17.6000004
261,1,17.7000008,18.8500004,17.7000008
262,1,17.3299999,18.3600006,17.7000008
263,1,16.8099995,18.4500008,17.5000000
264,1,17.7099991,19.1900005,17.8999996
265,1,17.0499992,18.1000004,17.6000004
266,1,16.6700001,18.4799995,17.6000004
267,1,16.6499996,18.7299995,17.5000000
268,1,16.8999996,18.5799999,17.5000000
269,1,17.3099995,18.7500000,17.7000008
270,1,16.7399998,18.1200008,17.7999992
271,1,16.6200008,18.3500004,17.6000004
272,1,16.9699993,18.5400009,17.7000008
273,1,16.8299999,18.4699993,17.3999996
274,1,16.6900005,18.2999992,17.3999996
275,1,16.6800003,18.3799992,17.6000004
276,1,17.0300007,18.1399994,17.6000004
277,1,16.7800007,18.4300003,17.6000004
278,1,17.1000004,18.4799995,17.6000004
279,1,17.6200008,19.0000000,17.8999996
280,1,17.8099995,19.3799992,17.8999996
281,1,16.7099991,18.5000000,17.3999996
282,1,16.8299999,18.6100006,17.5000000
283,1,16.8199997,19.2199993,17.3999996
284,1,16.4500008,18.1200008,17.7999992
285,1,16.8999996,18.1000004,17.5000000
286,1,17.6299992,18.6200008,17.7000008
287,1,17.0300007,18.6100006,17.7000008
288,1,16.6299992,18.0699997,17.3999996
289,1,16.6100006,18.4500008,17.5000000
290,1,17.1299992,18.2000008,17.3999996
291,1,17.1000004,18.8799992,17.5000000
292,1,18.2099991,18.6900005,17.6000004
293,1,16.5300007,18.3799992,17.6000004
294,1,16.8199997,18.4400005,17.5000000
295,1,16.6599998,18.3299999,17.6000004
296,1,16.8099995,18.7500000,17.3999996
297,1,16.7299995,18.5100002,17.6000004
298,1,16.6900005,18.7399998,17.3999996
299,1,17.4599991,18.5300007,19.0000000
300,1,16.8799992,19.0799999,17.7999992
301,1,17.7500000,19.0100002,17.5000000
302,1,16.7800007,18.4200001,17.3999996
303,1,17.3400002,18.2099991,17.7999992
304,1,17.1100006,19.6399994,17.6000004
305,1,16.6299992,18.3500004,17.5000000
306,1,16.8999996,18.8500004,17.6000004
307,1,17.3999996,19.7600002,17.3999996
308,1,16.5300007,18.2500000,17.5000000
309,1,17.0300007,18.3099995,17.6000004
310,1,17.2399998,18.2999992,17.7999992
311,1,16.9699993,18.7099991,17.6000004
312,1,16.6299992,18.4599991,17.3999996
313,1,16.8099995,18.5000000,17.8999996
314,1,16.6000004,18.5599995,17.6000004
315,1,16.8899994,18.1299992,17.7999992
316,1,16.6900005,18.1100006,17.6000004
317,1,17.1499996,19.8799992,17.8999996
318,1,16.6299992,18.4200001,17.3999996
319,1,16.7500000,18.6100006,17.3999996
320,1,16.7199993,18.1599998,17.6000004
321,1,17.3500004,18.3899994,17.7000008
322,1,17.0799999,18.9699993,18.2999992
323,1,17.5200005,19.2199993,17.6000004
324,1,17.7000008,18.6399994,17.5000000
325,1,16.6499996,18.2600002,17.6000004
326,1,17.7800007,19.2399998,17.7999992
327,1,16.5400009,18.5499992,17.7000008
328,1,16.5200005,18.2199993,17.5000000
329,1,16.8799992,18.4599991,17.3999996
330,1,16.5900002,18.0300007,17.5000000
331,1,16.6499996,18.3199997,17.5000000
332,1,16.7199993,18.1900005,17.6000004
333,1,17.4799995,18.6700001,17.8999996
334,1,16.9099998,18.3799992,17.6000004
335,1,16.7700005,18.1800003,17.6000004
336,1,17.1000004,18.9200001,17.6000004
337,1,16.7700005,18.0900002,17.6000004
338,1,17.2199993,18.3199997,17.6000004
339,1,16.7999992,18.5699997,17.6000004
340,1,16.9200001,18.3600006,17.5000000
341,1,17.0300007,18.2099991,17.5000000
342,1,16.7199993,18.4699993,18.1000004
343,1,17.5400009,18.8999996,17.5000000
344,1,17.6299992,18.1499996,17.7000008
345,1,16.9500008,18.6200008,17.5000000
346,1,17.3500004,18.3199997,17.7000008
347,1,16.4599991,18.4300003,17.3999996
348,1,17.1200008,19.1100006,17.7999992
349,1,16.6000004,18.4300003,17.6000004
350,1,16.8199997,18.4500008,17.5000000
351,1,16.7199993,18.3099995,17.5000000
352,1,16.6100006,18.3299999,17.5000000
353,1,16.8999996,18.9799995,17.7999992
354,1,17.3600006,18.4400005,17.7000008
355,1,16.7099991,19.4699993,17.6000004
356,1,17.6700001,19.3400002,17.6000004
357,1,17.0300007,18.0799999,17.7000008
358,1,16.6800003,18.5799999,17.6000004
359,1,17.0000000,18.2099991,17.5000000
360,1,16.4200001,18.3199997,17.6000004
361,1,16.7999992,18.3899994,17.6000004
362,1,17.4500008,18.5599995,17.5000000
363,1,16.9200001,18.8099995,17.7999992
364,1,16.8099995,18.3500004,17.3999996
365,1,17.0799999,18.7000008,17.5000000
366,1,16.8899994,18.4200001,17.6000004
367,1,17.4300003,18.8500004,17.5000000
368,1,17.5499992,18.4699993,17.3999996
369,1,16.8999996,18.2600002,17.3999996
370,1,16.6900005,18.4599991,17.5000000
371,1,16.9799995,18.2999992,17.3999996
372,1,17.3899994,19.0499992,17.3999996
373,1,17.3700008,18.6399994,17.5000000
374,1,16.9699993,17.9300003,17.2999992
375,1,17.9200001,18.4799995,17.2999992
376,1,16.9799995,18.6800003,17.5000000
377,1,17.6399994,18.7099991,17.3999996
378,1,16.9699993,18.9899998,17.7000008
379,1,17.2900009,18.1499996,17.2999992
380,1,17.1499996,18.3500004,17.3999996
381,1,16.9899998,18.7900009,17.3999996
382,1,16.6700001,18.2600002,17.3999996
383,1,17.0400009,18.6399994,17.5000000
384,1,17.1299992,18.7199993,17.6000004
385,1,16.7500000,18.5400009,17.6000004
386,1,17.5300007,19.0200005,17.3999996
387,1,16.9899998,18.0200005,17.3999996
388,1,17.0900002,18.7199993,17.3999996
389,1,16.9899998,18.7099991,17.7000008
390,1,16.9500008,18.6299992,17.7999992
391,1,17.0499992,18.4799995,17.3999996
392,1,16.8199997,18.2700005,17.3999996
393,1,17.2399998,18.6700001,17.6000004
394,1,17.0300007,18.1399994,17.3999996
395,1,17.1900005,18.5200005,17.3999996
396,1,16.6599998,18.3400002,17.3999996
397,1,17.0499992,18.7900009,17.3999996
398,1,17.0000000,18.2999992,17.3999996
399,1,17.1100006,20.4500008,17.3999996
400,1,17.5000000,19.2199993,17.2999992
401,1,16.7700005,18.2399998,17.2999992
402,1,16.7299995,18.6599998,17.5000000
403,1,16.9500008,18.8400002,17.6000004
404,1,17.3999996,18.7700005,17.5000000
405,1,16.9200001,18.5699997,17.3999996
406,1,17.0900002,18.6700001,17.2999992
407,1,16.6800003,18.4799995,17.5000000
408,1,17.2199993,18.1100006,17.3999996
409,1,16.6900005,18.6499996,17.2000008
410,1,17.1499996,18.4500008,17.2999992
411,1,16.8999996,18.3400002,17.2999992
412,1,16.8700008,18.1700001,17.6000004
413,1,16.8600006,18.2000008,17.3999996
414,1,17.3700008,19.0900002,17.3999996
415,1,16.8500004,18.3700008,17.6000004
416,1,16.8899994,19.0000000,17.6000004
417,1,17.0599995,19.0699997,17.3999996
418,1,17.0599995,18.9300003,17.2999992
419,1,17.2900009,18.7399998,17.5000000
420,1,17.0300007,18.4799995,17.3999996
421,1,17.1800003,18.5499992,17.7000008
422,1,17.2199993,18.1399994,17.5000000
423,1,16.7099991,18.2900009,17.5000000
424,1,17.6200008,18.5100002,17.2999992
425,1,17.7700005,18.2099991,17.2999992
426,1,16.8700008,18.5200005,17.5000000
427,1,16.6200008,18.4500008,17.2999992
428,1,17.3199997,19.1700001,17.3999996
429,1,16.7099991,18.1200008,17.5000000
430,1,16.7999992,18.4300003,17.2999992
431,1,17.8600006,18.8700008,17.7999992
432,1,16.9799995,18.8099995,17.6000004
433,1,16.7399998,18.3799992,17.6000004
434,1,17.0699997,18.3700008,17.3999996
435,1,17.1700001,18.4099998,17.5000000
436,1,17.3600006,18.6299992,17.2999992
437,1,16.8500004,18.2600002,17.5000000
438,1,16.8600006,18.2900009,17.5000000
439,1,16.6299992,18.1299992,17.3999996
440,1,16.8099995,18.2700005,17.3999996
441,1,17.1599998,18.5200005,17.2999992
442,1,16.6599998,18.3600006,17.5000000
443,1,17.1000004,18.6700001,17.5000000
444,1,16.9899998,18.7399998,17.5000000
445,1,17.1599998,18.2999992,17.3999996
446,1,16.7800007,18.6499996,17.5000000
447,1,16.7299995,18.3600006,17.3999996
448,1,16.6599998,18.6100006,17.2999992
449,1,17.5000000,19.0799999,17.3999996
450,1,17.3600006,17.4699993,17.3999996
451,1,16.8999996,17.5499992,17.3999996
452,1,17.0200005,17.6200008,17.5000000
453,1,17.3600006,18.1299992,17.3999996
454,1,17.4599991,17.2299995,17.3999996
455,1,16.2900009,17.2700005,17.7000008
456,1,16.5200005,17.4200001,17.5000000
457,1,16.2500000,16.9799995,17.3999996
458,1,16.9699993,17.1800003,17.3999996
459,1,16.4500008,17.1700001,17.5000000
460,1,16.3500004,17.0400009,17.5000000
461,1,17.2199993,18.0799999,17.7000008
462,1,17.4500008,17.5599995,17.3999996
463,1,16.9300003,17.5699997,17.3999996
464,1,16.7700005,17.2399998,17.5000000
465,1,17.3099995,17.5000000,17.2999992
466,1,16.8400002,17.5699997,17.2999992
467,1,17.7600002,18.1299992,17.3999996
468,1,17.0599995,17.6499996,17.2999992
469,1,17.6800003,17.7399998,17.7000008
470,1,16.1499996,16.7999992,17.3999996
471,1,16.9599991,17.1900005,17.2999992
472,1,17.3199997,17.6200008,17.2999992
473,1,16.3400002,17.0100002,17.3999996
474,1,17.3400002,17.9500008,17.3999996
475,1,16.8899994,17.3700008,17.2999992
476,1,16.2600002,16.9500008,17.3999996
477,1,17.4400005,17.9099998,17.5000000
478,1,17.0499992,17.5100002,17.5000000
479,1,17.2800007,17.5400009,17.5000000
480,1,17.0200005,17.5900002,17.3999996
481,1,17.3999996,17.7600002,17.7000008
482,1,16.1599998,16.6800003,17.5000000
483,1,16.8600006,17.4699993,17.2999992
484,1,17.2000008,17.5400009,17.5000000
485,1,16.1599998,17.2399998,17.7000008
486,1,16.9400005,17.6499996,17.5000000
487,1,17.0400009,17.9099998,17.3999996
488,1,16.9500008,17.2299995,17.2999992
489,1,17.1100006,17.6900005,17.7000008
490,1,17.1200008,17.5300007,17.3999996
491,1,17.2900009,17.3299999,17.3999996
492,1,16.5400009,17.3999996,17.3999996
493,1,17.0400009,17.2399998,17.5000000
494,1,15.8500004,16.6499996,17.3999996
495,1,15.9300003,16.7399998,17.5000000
496,1,17.1299992,17.5400009,17.3999996
497,1,18.2900009,18.6900005,17.5000000
498,1,16.4899998,17.1499996,17.2999992
499,1,16.1800003,17.0900002,17.5000000
500,1,17.0200005,17.4699993,17.3999996
